event_minus_10,event_minus_9,event_minus_8,event_minus_7,event_minus_6,event_minus_5,event_minus_4,event_minus_3,event_minus_2,event_minus_1,target_event,occurances
,,,,,,,,,,betting||added selection,828
betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,659
,,,,,,,,,,navigation||my bets,627
,,,,,,,,,,OneTrust Cookie Consent||OneTrust Cookie Consent,608
betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,betting||added selection,betting||removed selection,607
,,,,,,,,,,text media||text media,501
,,,,,,,,,,navigation||race time selector,490
,,,,,,,,,,gaming||gaming,417
,,,,,,,,,,login||login,410
media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,385
media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,media||media,media||watched video,380
,,,,,,,,,,navigation||football,373
,,,,,,,,,,navigation||racing,350
,,,,,,,,,,navigation||my bets - close,288
,,,,,,,,,,betting||placed bet,251
,,,,,,,,,,navigation||horse racing,249
betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,238
betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,231
,,,,,,,,,betting||added selection,betting||placed bet,227
betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,220
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,184
,,,,,,,,,,navigation||paddy power logo,157
,,,,,,,,,,navigation||my account,153
,,,,,,,,,,blog||blog,150
betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,147
,,,,,,,,,text media||text media,betting||added selection,143
betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,betting||placed bet,betting||placed bet - error,139
,,,,,,,,,,betting||removed selection,116
,,,,,,,,,,payments||payments,115
,,,,,,,,,,navigation||login,112
,,,,,,,,,,media||media,111
,,,,,,,,,,promotions||promotions,110
,,,,,,,,,navigation||race time selector,betting||added selection,109
,,,,,,,,,betting||added selection,betting||removed selection,107
betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,betting||removed all selections,106
,,,,,,,,,,banner||banner,105
,,,,,,,,,,navigation||home,103
,,,,,,,,,,navigation||meetings & results,102
