event_minus_5,event_minus_4,event_minus_3,event_minus_2,event_minus_1,target_event,occurances
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,navigation||race time selector,betting||placed bet,310
navigation||race time selector,betting||added selection,betting||placed bet,navigation||race time selector,betting||added selection,betting||placed bet,278
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,betting||powered up,betting||placed bet,124
navigation||race time selector,betting||added selection,navigation||race time selector,betting||placed bet,betting||added selection,betting||placed bet,110
navigation||race time selector,betting||added selection,navigation||race time selector,text media||text media,betting||added selection,betting||placed bet,100
navigation||race time selector,text media||text media,betting||added selection,navigation||race time selector,betting||added selection,betting||placed bet,94
navigation||race time selector,text media||text media,navigation||race time selector,text media||text media,betting||added selection,betting||placed bet,91
navigation||race time selector,betting||added selection,navigation||race time selector,betting||added selection,text media||text media,betting||placed bet,77
navigation||race time selector,betting||added selection,betting||placed bet,betting||removed all selections,betting||added selection,betting||placed bet,74
navigation||race time selector,betting||added selection,text media||text media,betting||added selection,text media||text media,betting||placed bet,64
navigation||race time selector,betting||added selection,navigation||race time selector,betting||placed bet,navigation||race time selector,betting||placed bet,63
navigation||race time selector,betting||added selection,navigation||fairyhouse,navigation||race time selector,betting||added selection,betting||placed bet,58
navigation||race time selector,text media||text media,betting||added selection,text media||text media,betting||added selection,betting||placed bet,57
navigation||race time selector,text media||text media,betting||added selection,betting||placed bet,betting||added selection,betting||placed bet,53
navigation||race time selector,betting||added selection,navigation||kempton,navigation||race time selector,betting||added selection,betting||placed bet,53
